atmospheric_rain(mm/s) surface_runoff(mm/s) subsurface_runoff(mm/s) infiltration(mm/s) interception(mm/s) ground_evaporation(mm/s) vegetation_evaporation(mm/s) vegetation_transpiration(mm/s) heat_flux_into_soil(W/m^2)
1.36574e-04 2.89901e-05 7.35216e-05 1.98686e-04 3.09217e-05 3.17312e-06 1.74424e-05 1.88533e-05 1.06629e+00
6.94444e-06 1.33303e-06 9.46723e-05 3.32820e-05 1.57261e-06 2.66786e-06 1.57261e-06 2.03103e-05 2.16855e+00
2.31481e-06 4.45964e-07 9.97546e-05 3.87770e-06 5.24308e-07 3.68988e-06 5.24308e-07 2.28779e-05 -2.72425e+00
2.08333e-05 3.96682e-06 9.21210e-05 9.74642e-06 4.71972e-06 3.26152e-06 4.71972e-06 2.16935e-05 2.95389e-01
0.00000e+00 0.00000e+00 8.07487e-05 -3.24018e-06 0.00000e+00 3.32828e-06 3.81005e-25 2.13441e-05 -1.47580e+00
0.00000e+00 0.00000e+00 6.95127e-05 -3.21658e-06 0.00000e+00 3.21431e-06 7.62010e-25 2.38760e-05 -3.65913e-01
4.39815e-05 8.57992e-06 5.94650e-05 2.50719e-05 9.96985e-06 2.69290e-06 7.61138e-06 1.70018e-05 -8.73620e-01
2.31481e-06 4.18528e-07 5.09991e-05 -1.86709e-06 5.24833e-07 3.23773e-06 5.24833e-07 2.37384e-05 -7.33327e-01
2.22222e-04 4.80873e-05 4.42845e-05 1.55684e-04 5.03940e-05 2.50439e-06 1.24447e-05 2.08996e-05 2.26525e+00
2.31481e-06 4.06721e-07 4.02568e-05 1.56071e-06 5.25042e-07 2.79687e-06 5.25042e-07 2.17345e-05 1.96184e+00
0.00000e+00 0.00000e+00 3.86491e-05 -3.32919e-06 0.00000e+00 3.67981e-06 4.78212e-25 2.12651e-05 -6.70085e+00
6.22685e-04 1.34092e-04 3.68548e-05 3.43343e-04 1.41294e-04 1.70914e-06 2.41627e-05 1.08667e-05 -2.62731e+00
2.31481e-06 4.06412e-07 4.18497e-05 8.97146e-05 5.25362e-07 2.30695e-06 3.53506e-06 2.12929e-05 -2.32657e+00
2.68519e-04 6.08963e-05 5.35860e-05 2.06935e-04 6.09544e-05 1.87466e-06 7.40412e-06 1.52373e-05 -1.70604e+00
2.75463e-04 6.20599e-05 6.85554e-05 1.93595e-04 6.25435e-05 2.34149e-06 1.61460e-05 1.30101e-05 -2.24508e+00
9.25926e-06 1.75339e-06 8.42143e-05 1.82077e-05 2.10273e-06 2.59236e-06 2.10273e-06 1.55173e-05 -4.31757e+00
1.15741e-05 2.19230e-06 8.70884e-05 6.70333e-06 2.62894e-06 2.55307e-06 2.62894e-06 1.85052e-05 -1.53734e+00
7.63889e-05 1.50469e-05 8.06176e-05 4.48720e-05 1.73545e-05 2.26935e-06 1.44575e-05 1.34946e-05 -3.24369e+00
4.62963e-05 9.28956e-06 7.23030e-05 2.73273e-05 1.05200e-05 1.84304e-06 7.83911e-06 1.48387e-05 -2.08794e+00
4.62963e-06 8.57172e-07 6.54866e-05 5.57872e-07 1.05221e-06 2.13075e-06 1.05221e-06 1.80353e-05 -1.92693e+00
0.00000e+00 0.00000e+00 5.86919e-05 -2.85960e-06 0.00000e+00 2.84822e-06 1.21922e-23 2.36794e-05 -1.95454e+00
0.00000e+00 0.00000e+00 5.17136e-05 -2.20516e-06 0.00000e+00 2.13245e-06 1.27050e-22 2.15380e-05 -6.26229e-01
5.09259e-05 9.01551e-06 4.51573e-05 2.77185e-05 1.15812e-05 2.58070e-06 1.15761e-05 2.08411e-05 2.28315e-02
5.60185e-04 1.23188e-04 4.00630e-05 3.53254e-04 1.27419e-04 2.24976e-06 1.80575e-05 9.80294e-06 -4.00409e+00
4.62963e-06 8.17713e-07 4.48081e-05 5.19441e-05 1.05326e-06 1.89536e-06 1.05326e-06 2.30286e-05 8.49657e-02
4.86111e-05 9.55204e-06 5.26297e-05 3.95707e-05 1.10603e-05 2.20935e-06 7.74054e-06 1.94835e-05 -1.74454e+00
1.62037e-05 2.93205e-06 5.44594e-05 9.07421e-06 3.68675e-06 2.08479e-06 3.68675e-06 1.75100e-05 -1.82806e+00
1.48148e-04 3.23072e-05 5.25975e-05 8.77063e-05 3.37073e-05 2.39075e-06 9.62908e-06 1.74196e-05 -2.10982e+00
2.50000e-04 5.57787e-05 4.98010e-05 1.31398e-04 5.68809e-05 2.18845e-06 9.61230e-06 2.23531e-05 2.47918e+00
6.01852e-05 1.10999e-05 4.99724e-05 8.75121e-05 1.36935e-05 2.62174e-06 1.24286e-05 1.66888e-05 -1.45010e+00
4.39815e-05 7.94289e-06 5.29895e-05 3.55533e-05 1.00067e-05 2.11708e-06 1.00022e-05 1.62329e-05 -4.10569e-02
1.45833e-04 3.04257e-05 5.43902e-05 9.65888e-05 3.31801e-05 2.17184e-06 1.58942e-05 1.64635e-05 -4.15820e-01
4.28241e-04 9.83801e-05 5.57623e-05 2.92426e-04 9.74332e-05 2.03536e-06 7.97355e-06 1.66907e-05 -9.57119e-01
2.59259e-04 5.74361e-05 7.10702e-05 1.61625e-04 5.89863e-05 1.57330e-06 2.12306e-05 1.21374e-05 -1.37071e+00
