Date-Time wind dlwrf dswrf tas shum pres ppt
01/17/1998-09 0.8243090 420.9029 21.10894 298.0818 0.01945302 100844.7 0.0000000
01/17/1998-12 0.9245615 425.9071 372.95600 300.2491 0.02223929 100804.0 0.0000000
01/17/1998-15 1.0797560 425.1573 679.41550 304.0135 0.02775313 100669.1 0.0000000
01/17/1998-18 1.0212090 440.1344 409.82420 304.5195 0.02844981 100592.3 0.0000000
01/17/1998-21 0.7489189 440.7122 82.25590 301.7668 0.02394843 100573.8 0.4472424
01/18/1998-00 0.6781164 424.7968 0.00000 299.4973 0.02052897 100634.7 0.0000000
01/18/1998-03 0.8088010 425.0406 0.00000 298.3037 0.01907766 100775.1 0.3384537
01/18/1998-06 0.8283237 420.3954 0.00000 298.0204 0.01908505 100858.4 0.0000000
01/18/1998-09 0.7366846 420.2537 24.17173 298.6474 0.02011675 100884.4 0.0000000
01/18/1998-12 0.7302849 430.9803 342.52010 300.7398 0.02308232 100829.4 0.0000000
01/18/1998-15 0.8091246 430.2570 615.06720 304.2977 0.02853257 100693.5 0.0000000
01/18/1998-18 0.7995238 442.4484 372.22820 304.5589 0.02878548 100586.1 0.0000000
01/18/1998-21 0.7014826 443.0930 75.50938 301.5233 0.02383326 100507.2 0.0000000
01/19/1998-00 0.6878924 421.8745 0.00000 299.3972 0.02063433 100514.6 1.6439180
01/19/1998-03 0.7587534 422.2134 0.00000 297.7358 0.01855299 100608.3 0.0000000
01/19/1998-06 0.7890176 417.3776 0.00000 297.3146 0.01819818 100693.8 0.0000000
01/19/1998-09 0.7786850 417.1973 23.65922 298.1335 0.01936878 100771.2 0.0000000
01/19/1998-12 0.8479517 426.0216 361.95500 300.4744 0.02273458 100739.5 0.0000000
01/19/1998-15 0.9968178 425.2647 653.96990 304.3371 0.02829332 100598.6 0.0000000
01/19/1998-18 0.9970534 435.9893 424.40390 304.8800 0.02811002 100525.2 0.0000000
01/19/1998-21 0.8486587 436.5607 108.72980 302.1030 0.02376175 100519.3 0.0000000
01/20/1998-00 0.7841830 424.9038 0.00000 299.8129 0.02128679 100574.2 0.0000000
01/20/1998-03 0.8036262 425.2057 0.00000 298.2510 0.01963107 100690.2 0.0000000
01/20/1998-06 0.7964662 416.1610 0.00000 297.7298 0.01904508 100779.7 0.0000000
01/20/1998-09 0.7627030 416.0585 24.13008 298.2495 0.01960424 100842.8 4.4724240
01/20/1998-12 0.7873427 425.7910 374.56440 300.4102 0.02219047 100806.6 2.7076300
01/20/1998-15 0.8703852 425.0373 677.81220 304.2119 0.02760130 100671.1 0.0000000
01/20/1998-18 0.9020619 441.0351 413.90440 304.6486 0.02814806 100601.8 0.0000000
01/20/1998-21 0.8823728 441.6379 86.52657 301.7204 0.02374365 100598.8 0.0000000
01/21/1998-00 0.8834199 424.4135 0.00000 299.6720 0.02118162 100601.5 0.0000000
01/21/1998-03 0.9052032 424.7437 0.00000 298.0337 0.01922357 100609.6 0.0000000
01/21/1998-06 0.9458460 418.3681 0.00000 297.3814 0.01838243 100694.3 0.0000000
01/21/1998-09 1.0053480 418.3047 25.78827 297.7150 0.01866273 100855.6 0.0000000
01/21/1998-12 1.0915490 423.7183 394.09700 300.0041 0.02136357 100829.0 0.0000000
01/21/1998-15 1.2044470 422.8901 712.72110 304.2487 0.02720776 100614.4 0.0000000
01/21/1998-18 1.1886770 432.5159 451.21770 304.8600 0.02775553 100488.9 9.8635090
01/21/1998-21 1.0442390 433.1230 106.80530 301.8381 0.02322389 100452.4 0.0000000
01/22/1998-00 0.8881907 414.7644 0.00000 299.5050 0.02045223 100470.0 0.0000000
01/22/1998-03 0.7205319 415.2390 0.00000 297.1248 0.01776660 100541.5 0.0000000
01/22/1998-06 0.6278558 417.8843 0.00000 296.3407 0.01683650 100672.3 0.0000000
01/22/1998-09 0.6101625 417.7212 22.27821 297.1524 0.01758694 100862.6 0.0000000
01/22/1998-12 0.7320392 428.1464 362.99080 299.8566 0.02064040 100807.7 0.0000000
01/22/1998-15 0.9934861 427.2301 659.65370 304.4533 0.02711289 100507.8 0.0000000
01/22/1998-18 1.0697250 434.2438 430.61940 305.2054 0.02843669 100391.6 0.0000000
01/22/1998-21 0.9607555 434.8525 111.67830 302.1129 0.02396866 100459.2 0.0000000
01/23/1998-00 0.8297973 416.1752 0.00000 299.0932 0.02034122 100518.0 0.0000000
